STATE,YEAR,EMP,GL,GR,ST,LOCATION,TV
Oklahoma,2011,1320,NA,NA,NA,NA,NA
Oklahoma,2011,1240,NA,NA,NA,NA,NA
Oklahoma,2011,NA,NA,29522,NA,NA,NA
Oklahoma,2012,1190,NA,NA,NA,NA,NA
Oklahoma,2012,1270,NA,NA,NA,NA,NA
Oklahoma,2012,NA,4695,37307,NA,NA,NA
Oklahoma,2013,1360,NA,NA,NA,NA,NA
Oklahoma,2013,1150,NA,NA,NA,NA,NA
Oklahoma,2013,NA,57,47497,NA,NA,NA
Oklahoma,2014,1210,NA,NA,NA,NA,NA
Oklahoma,2014,980,NA,NA,NA,NA,NA
Oklahoma,2014,NA,211,47419,NA,NA,NA
Oklahoma,2015,980,NA,NA,NA,NA,NA
Oklahoma,2015,1210,NA,NA,NA,NA,NA
Oklahoma,2015,NA,266,58213,NA,NA,NA
Oklahoma,2016,980,NA,NA,NA,NA,NA
Oklahoma,2016,650,NA,NA,NA,NA,NA
Oklahoma,2016,NA,187,64063,NA,NA,NA
Oklahoma,2017,NA,285,71269,NA,NA,NA
Oklahoma,2018,NA,NA,74615,NA,NA,NA
Oregon,1998,NA,NA,NA,OR,"Springfield, Oregon",29
Oregon,2000,1000,NA,NA,NA,NA,NA
Oregon,2000,1110,NA,NA,NA,NA,NA
Oregon,2001,1200,NA,NA,NA,NA,NA
Oregon,2001,960,NA,NA,NA,NA,NA
Oregon,2002,1640,NA,NA,NA,NA,NA
Oregon,2002,1320,NA,NA,NA,NA,NA
Oregon,2003,2080,NA,NA,NA,NA,NA
Oregon,2003,1730,NA,NA,NA,NA,NA
Oregon,2004,2110,NA,NA,NA,NA,NA
Oregon,2004,2430,NA,NA,NA,NA,NA
Oregon,2005,**,NA,NA,NA,NA,NA
Oregon,2005,2310,NA,NA,NA,NA,NA
Oregon,2006,1650,NA,NA,NA,NA,NA
Oregon,2006,2440,NA,NA,NA,NA,NA
Oregon,2007,1500,NA,NA,NA,NA,NA
Oregon,2007,1810,NA,NA,NA,NA,NA
Oregon,2008,1790,NA,NA,NA,NA,NA
Oregon,2008,1680,NA,NA,NA,NA,NA
Oregon,2009,1740,NA,NA,NA,NA,NA
Oregon,2009,2050,NA,NA,NA,NA,NA
Oregon,2010,2080,NA,NA,NA,NA,NA
Oregon,2010,2110,NA,NA,NA,NA,NA
Oregon,2011,2160,NA,NA,NA,NA,NA
Oregon,2011,2350,NA,NA,NA,NA,NA
Oregon,2011,NA,NA,35718,NA,NA,NA
Oregon,2012,2560,NA,NA,NA,NA,NA
Oregon,2012,NA,2491,38917,NA,NA,NA
Oregon,2012,2030,NA,NA,NA,NA,NA
Oregon,2013,NA,37,42857,NA,NA,NA
Oregon,2013,1940,NA,NA,NA,NA,NA
Oregon,2013,2520,NA,NA,NA,NA,NA
Oregon,2014,1740,NA,NA,NA,NA,NA
Oregon,2014,2050,NA,NA,NA,NA,NA
Oregon,2014,NA,74,44811,NA,NA,NA
Oregon,2015,1740,NA,NA,OR,"Roseburg, Oregon",18
Oregon,2015,2050,NA,NA,OR,"Roseburg, Oregon",18
Oregon,2015,NA,230,48751,OR,"Roseburg, Oregon",18
Oregon,2016,1810,NA,NA,NA,NA,NA
Oregon,2016,1500,NA,NA,NA,NA,NA
Oregon,2016,NA,445,51923,NA,NA,NA
Oregon,2017,NA,938,61383,NA,NA,NA
Oregon,2018,NA,NA,66346,NA,NA,NA
Pennsylvania,2000,5680,NA,NA,NA,NA,NA
Pennsylvania,2000,4880,NA,NA,NA,NA,NA
Pennsylvania,2001,5950,NA,NA,NA,NA,NA
Pennsylvania,2001,6170,NA,NA,NA,NA,NA
Pennsylvania,2002,7560,NA,NA,NA,NA,NA
Pennsylvania,2002,6150,NA,NA,NA,NA,NA
Pennsylvania,2003,8690,NA,NA,NA,NA,NA
Pennsylvania,2003,7910,NA,NA,NA,NA,NA
Pennsylvania,2004,10440,NA,NA,NA,NA,NA
Pennsylvania,2004,10630,NA,NA,NA,NA,NA
Pennsylvania,2005,11890,NA,NA,NA,NA,NA
Pennsylvania,2005,10800,NA,NA,NA,NA,NA
Pennsylvania,2006,12050,NA,NA,PA,"Lancaster County, Pennsylvania",11
Pennsylvania,2006,9620,NA,NA,PA,"Lancaster County, Pennsylvania",11
Pennsylvania,2007,8750,NA,NA,NA,NA,NA
Pennsylvania,2007,13140,NA,NA,NA,NA,NA
Pennsylvania,2008,13870,NA,NA,NA,NA,NA
Pennsylvania,2008,8400,NA,NA,NA,NA,NA
Pennsylvania,2009,15340,NA,NA,NA,NA,NA
Pennsylvania,2009,8790,NA,NA,NA,NA,NA
Pennsylvania,2010,15740,NA,NA,NA,NA,NA
Pennsylvania,2010,9380,NA,NA,NA,NA,NA
Pennsylvania,2011,15380,NA,NA,NA,NA,NA
Pennsylvania,2011,9230,NA,NA,NA,NA,NA
Pennsylvania,2011,NA,NA,146887,NA,NA,NA
Pennsylvania,2012,13750,NA,NA,NA,NA,NA
Pennsylvania,2012,9610,NA,NA,NA,NA,NA
Pennsylvania,2012,NA,6566,197217,NA,NA,NA
Pennsylvania,2013,12260,NA,NA,NA,NA,NA
Pennsylvania,2013,9800,NA,NA,NA,NA,NA
Pennsylvania,2013,NA,702,216370,NA,NA,NA
Pennsylvania,2014,15340,NA,NA,NA,NA,NA
Pennsylvania,2014,8790,NA,NA,NA,NA,NA
Pennsylvania,2014,NA,372,191189,NA,NA,NA
Pennsylvania,2015,8790,NA,NA,NA,NA,NA
Pennsylvania,2015,15340,NA,NA,NA,NA,NA
Pennsylvania,2015,NA,332,225377,NA,NA,NA
Pennsylvania,2016,13140,NA,NA,NA,NA,NA
Pennsylvania,2016,8750,NA,NA,NA,NA,NA
Pennsylvania,2016,NA,276,222722,NA,NA,NA
Pennsylvania,2017,NA,568,236377,PA,"Tunkhannock, PA",3
Pennsylvania,2018,NA,NA,261765,PA,"Melcroft, PA",5
Puerto Rico,2000,40,NA,NA,NA,NA,NA
Puerto Rico,2000,100,NA,NA,NA,NA,NA
Puerto Rico,2001,100,NA,NA,NA,NA,NA
Puerto Rico,2001,480,NA,NA,NA,NA,NA
Puerto Rico,2002,510,NA,NA,NA,NA,NA
Puerto Rico,2002,90,NA,NA,NA,NA,NA
Puerto Rico,2003,100,NA,NA,NA,NA,NA
Puerto Rico,2004,420,NA,NA,NA,NA,NA
Puerto Rico,2004,100,NA,NA,NA,NA,NA
Puerto Rico,2005,410,NA,NA,NA,NA,NA
Puerto Rico,2005,110,NA,NA,NA,NA,NA
Puerto Rico,2006,30,NA,NA,NA,NA,NA
Puerto Rico,2006,200,NA,NA,NA,NA,NA
Puerto Rico,2007,60,NA,NA,NA,NA,NA
Puerto Rico,2007,190,NA,NA,NA,NA,NA
Puerto Rico,2008,70,NA,NA,NA,NA,NA
Puerto Rico,2008,230,NA,NA,NA,NA,NA
Puerto Rico,2009,280,NA,NA,NA,NA,NA
Puerto Rico,2009,70,NA,NA,NA,NA,NA
Puerto Rico,2010,90,NA,NA,NA,NA,NA
Puerto Rico,2010,300,NA,NA,NA,NA,NA
Puerto Rico,2011,120,NA,NA,NA,NA,NA
Puerto Rico,2011,350,NA,NA,NA,NA,NA
Puerto Rico,2012,320,NA,NA,NA,NA,NA
Puerto Rico,2012,110,NA,NA,NA,NA,NA
Puerto Rico,2013,150,NA,NA,NA,NA,NA
Puerto Rico,2013,310,NA,NA,NA,NA,NA
Puerto Rico,2014,280,NA,NA,NA,NA,NA
Puerto Rico,2014,70,NA,NA,NA,NA,NA
Puerto Rico,2015,70,NA,NA,NA,NA,NA
Puerto Rico,2015,280,NA,NA,NA,NA,NA
Puerto Rico,2016,60,NA,NA,NA,NA,NA
Puerto Rico,2016,190,NA,NA,NA,NA,NA
Rhode Island,2000,720,NA,NA,NA,NA,NA
Rhode Island,2000,360,NA,NA,NA,NA,NA
Rhode Island,2001,880,NA,NA,NA,NA,NA
Rhode Island,2001,410,NA,NA,NA,NA,NA
Rhode Island,2002,520,NA,NA,NA,NA,NA
Rhode Island,2002,**,NA,NA,NA,NA,NA
Rhode Island,2003,620,NA,NA,NA,NA,NA
Rhode Island,2003,890,NA,NA,NA,NA,NA
Rhode Island,2004,460,NA,NA,NA,NA,NA
Rhode Island,2004,**,NA,NA,NA,NA,NA
Rhode Island,2005,410,NA,NA,NA,NA,NA
Rhode Island,2005,1340,NA,NA,NA,NA,NA
Rhode Island,2006,420,NA,NA,NA,NA,NA
Rhode Island,2006,1240,NA,NA,NA,NA,NA
Rhode Island,2007,460,NA,NA,NA,NA,NA
Rhode Island,2007,1340,NA,NA,NA,NA,NA
Rhode Island,2008,510,NA,NA,NA,NA,NA
Rhode Island,2008,1480,NA,NA,NA,NA,NA
Rhode Island,2009,460,NA,NA,NA,NA,NA
Rhode Island,2009,1260,NA,NA,NA,NA,NA
Rhode Island,2010,520,NA,NA,NA,NA,NA
Rhode Island,2010,1120,NA,NA,NA,NA,NA
Rhode Island,2011,760,NA,NA,NA,NA,NA
Rhode Island,2011,420,NA,NA,NA,NA,NA
Rhode Island,2011,NA,NA,3494,NA,NA,NA
Rhode Island,2012,410,NA,NA,NA,NA,NA
Rhode Island,2012,NA,226,3592,NA,NA,NA
Rhode Island,2012,590,NA,NA,NA,NA,NA
Rhode Island,2013,500,NA,NA,NA,NA,NA
Rhode Island,2013,NA,56,3913,NA,NA,NA
Rhode Island,2013,550,NA,NA,NA,NA,NA
Rhode Island,2014,460,NA,NA,NA,NA,NA
Rhode Island,2014,1260,NA,NA,NA,NA,NA
Rhode Island,2014,NA,27,3973,NA,NA,NA
Rhode Island,2015,1260,NA,NA,NA,NA,NA
Rhode Island,2015,460,NA,NA,NA,NA,NA
Rhode Island,2015,NA,2,4054,NA,NA,NA
Rhode Island,2016,460,NA,NA,NA,NA,NA
Rhode Island,2016,NA,7,4128,NA,NA,NA
Rhode Island,2016,1340,NA,NA,NA,NA,NA
Rhode Island,2017,NA,7,4223,NA,NA,NA
Rhode Island,2018,NA,NA,4535,NA,NA,NA
South Carolina,1997,NA,NA,NA,SC,"Aiken, South Carolina",7
South Carolina,2000,1890,NA,NA,NA,NA,NA
South Carolina,2000,840,NA,NA,NA,NA,NA
South Carolina,2001,1370,NA,NA,NA,NA,NA
South Carolina,2001,720,NA,NA,NA,NA,NA
South Carolina,2002,760,NA,NA,NA,NA,NA
South Carolina,2003,410,NA,NA,NA,NA,NA
South Carolina,2003,890,NA,NA,NA,NA,NA
South Carolina,2004,330,NA,NA,NA,NA,NA
South Carolina,2004,660,NA,NA,NA,NA,NA
South Carolina,2005,320,NA,NA,NA,NA,NA
South Carolina,2005,720,NA,NA,NA,NA,NA
South Carolina,2006,320,NA,NA,NA,NA,NA
South Carolina,2006,**,NA,NA,NA,NA,NA
South Carolina,2007,320,NA,NA,NA,NA,NA
South Carolina,2007,770,NA,NA,NA,NA,NA
South Carolina,2008,720,NA,NA,NA,NA,NA
South Carolina,2008,390,NA,NA,NA,NA,NA
South Carolina,2009,920,NA,NA,NA,NA,NA
South Carolina,2009,530,NA,NA,NA,NA,NA
South Carolina,2010,520,NA,NA,NA,NA,NA
South Carolina,2010,1120,NA,NA,NA,NA,NA
South Carolina,2011,NA,NA,40754,NA,NA,NA
South Carolina,2011,480,NA,NA,NA,NA,NA
South Carolina,2011,1740,NA,NA,NA,NA,NA
South Carolina,2012,NA,5839,45530,NA,NA,NA
South Carolina,2012,540,NA,NA,NA,NA,NA
South Carolina,2012,1590,NA,NA,NA,NA,NA
South Carolina,2013,NA,260,50896,NA,NA,NA
South Carolina,2013,500,NA,NA,NA,NA,NA
South Carolina,2014,530,NA,NA,NA,NA,NA
South Carolina,2014,920,NA,NA,NA,NA,NA
South Carolina,2014,NA,417,55286,NA,NA,NA
South Carolina,2015,530,NA,NA,SC,"Charleston, South Carolina",10
South Carolina,2015,NA,570,68312,SC,"Charleston, South Carolina",10
South Carolina,2015,920,NA,NA,SC,"Charleston, South Carolina",10
South Carolina,2016,320,NA,NA,NA,NA,NA
South Carolina,2016,770,NA,NA,NA,NA,NA
South Carolina,2016,NA,775,73213,NA,NA,NA
South Carolina,2017,NA,559,105601,NA,NA,NA
South Carolina,2018,NA,NA,101116,NA,NA,NA
South Dakota,2000,270,NA,NA,NA,NA,NA
South Dakota,2000,80,NA,NA,NA,NA,NA
South Dakota,2001,100,NA,NA,NA,NA,NA
South Dakota,2001,230,NA,NA,NA,NA,NA
South Dakota,2002,140,NA,NA,NA,NA,NA
South Dakota,2002,320,NA,NA,NA,NA,NA
South Dakota,2003,130,NA,NA,NA,NA,NA
South Dakota,2003,270,NA,NA,NA,NA,NA
South Dakota,2004,130,NA,NA,NA,NA,NA
South Dakota,2004,290,NA,NA,NA,NA,NA
South Dakota,2005,110,NA,NA,NA,NA,NA
South Dakota,2005,280,NA,NA,NA,NA,NA
South Dakota,2006,130,NA,NA,NA,NA,NA
South Dakota,2006,220,NA,NA,NA,NA,NA
South Dakota,2007,220,NA,NA,NA,NA,NA
South Dakota,2007,210,NA,NA,NA,NA,NA
South Dakota,2008,280,NA,NA,NA,NA,NA
South Dakota,2008,250,NA,NA,NA,NA,NA
South Dakota,2009,230,NA,NA,NA,NA,NA
South Dakota,2009,280,NA,NA,NA,NA,NA
South Dakota,2010,240,NA,NA,NA,NA,NA
South Dakota,2010,300,NA,NA,NA,NA,NA
South Dakota,2011,230,NA,NA,NA,NA,NA
South Dakota,2011,260,NA,NA,NA,NA,NA
South Dakota,2011,NA,NA,6636,NA,NA,NA
South Dakota,2012,NA,314,7652,NA,NA,NA
South Dakota,2012,240,NA,NA,NA,NA,NA
South Dakota,2012,250,NA,NA,NA,NA,NA
South Dakota,2013,NA,88,9256,NA,NA,NA
South Dakota,2013,250,NA,NA,NA,NA,NA
South Dakota,2013,250,NA,NA,NA,NA,NA
South Dakota,2014,230,NA,NA,NA,NA,NA
South Dakota,2014,280,NA,NA,NA,NA,NA
South Dakota,2014,NA,36,9677,NA,NA,NA
South Dakota,2015,280,NA,NA,NA,NA,NA
South Dakota,2015,NA,32,11989,NA,NA,NA
South Dakota,2015,230,NA,NA,NA,NA,NA
South Dakota,2016,NA,67,13892,NA,NA,NA
South Dakota,2016,220,NA,NA,NA,NA,NA
South Dakota,2016,210,NA,NA,NA,NA,NA
South Dakota,2017,NA,147,21130,NA,NA,NA
South Dakota,2018,NA,NA,22847,NA,NA,NA
Tennessee,2000,930,NA,NA,NA,NA,NA
Tennessee,2000,3040,NA,NA,NA,NA,NA
Tennessee,2001,1180,NA,NA,NA,NA,NA
Tennessee,2001,2880,NA,NA,NA,NA,NA
Tennessee,2002,1270,NA,NA,NA,NA,NA
Tennessee,2002,2230,NA,NA,NA,NA,NA
Tennessee,2003,2300,NA,NA,NA,NA,NA
Tennessee,2004,2590,NA,NA,NA,NA,NA
Tennessee,2004,1910,NA,NA,NA,NA,NA
Tennessee,2005,1870,NA,NA,NA,NA,NA
Tennessee,2005,2420,NA,NA,NA,NA,NA
Tennessee,2006,**,NA,NA,NA,NA,NA
Tennessee,2006,2600,NA,NA,NA,NA,NA
Tennessee,2007,2030,NA,NA,NA,NA,NA
Tennessee,2007,2250,NA,NA,NA,NA,NA
Tennessee,2008,2330,NA,NA,NA,NA,NA
Tennessee,2008,2430,NA,NA,NA,NA,NA
Tennessee,2009,2010,NA,NA,NA,NA,NA
Tennessee,2009,2260,NA,NA,NA,NA,NA
Tennessee,2010,2480,NA,NA,NA,NA,NA
Tennessee,2010,2180,NA,NA,NA,NA,NA
Tennessee,2011,2330,NA,NA,NA,NA,NA
Tennessee,2011,2110,NA,NA,NA,NA,NA
Tennessee,2011,NA,NA,59437,NA,NA,NA
Tennessee,2012,1590,NA,NA,NA,NA,NA
Tennessee,2012,NA,6101,65524,NA,NA,NA
Tennessee,2012,2430,NA,NA,NA,NA,NA
Tennessee,2013,2240,NA,NA,NA,NA,NA
Tennessee,2013,1360,NA,NA,NA,NA,NA
Tennessee,2013,NA,338,71107,NA,NA,NA
Tennessee,2014,2260,NA,NA,NA,NA,NA
Tennessee,2014,NA,295,73320,NA,NA,NA
Tennessee,2014,2010,NA,NA,NA,NA,NA
Tennessee,2015,NA,397,80701,TN,"Chattanooga, Tennessee",7
Tennessee,2015,2010,NA,NA,TN,"Chattanooga, Tennessee",7
Tennessee,2015,2260,NA,NA,TN,"Chattanooga, Tennessee",7
Tennessee,2016,2030,NA,NA,NA,NA,NA
Tennessee,2016,2250,NA,NA,NA,NA,NA
Tennessee,2016,NA,616,87104,NA,NA,NA
Tennessee,2017,NA,559,99159,NA,NA,NA
Tennessee,2018,NA,NA,107634,TN,"Nashville, TN",8
Texas,1984,NA,NA,NA,TX,"Dallas, Texas",7
Texas,1991,NA,NA,NA,TX,"Killeen, Texas",44
Texas,1995,NA,NA,NA,TX,"Corpus Christi, Texas",6
Texas,1999,NA,NA,NA,TX,"Fort Worth, Texas",15
Texas,2000,1870,NA,NA,NA,NA,NA
Texas,2000,3580,NA,NA,NA,NA,NA
Texas,2001,1710,NA,NA,NA,NA,NA
Texas,2001,4080,NA,NA,NA,NA,NA
Texas,2002,2370,NA,NA,NA,NA,NA
Texas,2002,3970,NA,NA,NA,NA,NA
Texas,2003,2350,NA,NA,NA,NA,NA
Texas,2003,3970,NA,NA,NA,NA,NA
Texas,2004,2300,NA,NA,NA,NA,NA
Texas,2004,4150,NA,NA,NA,NA,NA
Texas,2005,1930,NA,NA,NA,NA,NA
Texas,2005,3950,NA,NA,NA,NA,NA
Texas,2006,2320,NA,NA,NA,NA,NA
Texas,2006,3390,NA,NA,NA,NA,NA
Texas,2007,2800,NA,NA,NA,NA,NA
Texas,2007,3550,NA,NA,NA,NA,NA
Texas,2008,3830,NA,NA,NA,NA,NA
Texas,2008,9930,NA,NA,NA,NA,NA
Texas,2009,3680,NA,NA,TX,"Fort Hood, Texas",43
Texas,2009,4310,NA,NA,TX,"Fort Hood, Texas",43
Texas,2010,4040,NA,NA,NA,NA,NA
Texas,2010,3320,NA,NA,NA,NA,NA
Texas,2011,3920,NA,NA,NA,NA,NA
Texas,2011,3290,NA,NA,NA,NA,NA
Texas,2011,NA,NA,224200,NA,NA,NA
Texas,2012,3990,NA,NA,NA,NA,NA
Texas,2012,3300,NA,NA,NA,NA,NA
Texas,2012,NA,18874,258204,NA,NA,NA
Texas,2013,NA,694,303854,NA,NA,NA
Texas,2013,4220,NA,NA,NA,NA,NA
Texas,2013,**,NA,NA,NA,NA,NA
Texas,2014,3680,NA,NA,TX,"Fort Hood, Texas",15
Texas,2014,4310,NA,NA,TX,"Fort Hood, Texas",15
Texas,2014,NA,2510,337309,TX,"Fort Hood, Texas",15
Texas,2015,NA,1024,403185,NA,NA,NA
Texas,2015,3680,NA,NA,NA,NA,NA
Texas,2015,4310,NA,NA,NA,NA,NA
Texas,2016,3550,NA,NA,TX,"Dallas, Texas",16
Texas,2016,NA,1247,468581,TX,"Dallas, Texas",16
Texas,2016,2800,NA,NA,TX,"Dallas, Texas",16
Texas,2017,NA,1751,588696,TX,"Sutherland Springs, TX",46
Texas,2018,NA,NA,637612,TX,"Santa Fe, TX",23
Utah,2000,620,NA,NA,NA,NA,NA
Utah,2000,430,NA,NA,NA,NA,NA
Utah,2001,830,NA,NA,NA,NA,NA
Utah,2001,510,NA,NA,NA,NA,NA
Utah,2002,1000,NA,NA,NA,NA,NA
Utah,2002,850,NA,NA,NA,NA,NA
Utah,2003,910,NA,NA,NA,NA,NA
Utah,2003,1070,NA,NA,NA,NA,NA
Utah,2004,620,NA,NA,NA,NA,NA
Utah,2004,1470,NA,NA,NA,NA,NA
Utah,2005,**,NA,NA,NA,NA,NA
Utah,2005,1620,NA,NA,NA,NA,NA
Utah,2006,1450,NA,NA,NA,NA,NA
Utah,2006,420,NA,NA,NA,NA,NA
Utah,2007,460,NA,NA,UT,"Salt Lake City, Utah",10
Utah,2007,1460,NA,NA,UT,"Salt Lake City, Utah",10
Utah,2008,1030,NA,NA,NA,NA,NA
Utah,2008,660,NA,NA,NA,NA,NA
Utah,2009,1030,NA,NA,NA,NA,NA
Utah,2009,630,NA,NA,NA,NA,NA
Utah,2010,630,NA,NA,NA,NA,NA
Utah,2010,870,NA,NA,NA,NA,NA
Utah,2011,NA,NA,25986,NA,NA,NA
Utah,2011,750,NA,NA,NA,NA,NA
Utah,2011,720,NA,NA,NA,NA,NA
Utah,2012,NA,1185,29383,NA,NA,NA
Utah,2012,830,NA,NA,NA,NA,NA
Utah,2012,1010,NA,NA,NA,NA,NA
Utah,2013,NA,227,34536,NA,NA,NA
Utah,2013,930,NA,NA,NA,NA,NA
Utah,2013,1380,NA,NA,NA,NA,NA
Utah,2014,1030,NA,NA,NA,NA,NA
Utah,2014,630,NA,NA,NA,NA,NA
Utah,2014,NA,102,37490,NA,NA,NA
Utah,2015,630,NA,NA,NA,NA,NA
Utah,2015,1030,NA,NA,NA,NA,NA
Utah,2015,NA,36,77193,NA,NA,NA
Utah,2016,1460,NA,NA,NA,NA,NA
Utah,2016,460,NA,NA,NA,NA,NA
Utah,2016,NA,46,54367,NA,NA,NA
Utah,2017,NA,348,72856,NA,NA,NA
Utah,2018,NA,NA,83962,NA,NA,NA
Vermont,1999,NA,NA,NA,NA,NA,NA
Vermont,2000,NA,NA,NA,NA,NA,NA
Vermont,2000,320,NA,NA,NA,NA,NA
Vermont,2000,290,NA,NA,NA,NA,NA
Vermont,2001,NA,NA,NA,NA,NA,NA
Vermont,2001,590,NA,NA,NA,NA,NA
Vermont,2001,360,NA,NA,NA,NA,NA
Vermont,2002,270,NA,NA,NA,NA,NA
Vermont,2002,570,NA,NA,NA,NA,NA
Vermont,2003,350,NA,NA,NA,NA,NA
Vermont,2003,580,NA,NA,NA,NA,NA
Vermont,2004,290,NA,NA,NA,NA,NA
Vermont,2004,450,NA,NA,NA,NA,NA
Vermont,2005,370,NA,NA,NA,NA,NA
Vermont,2005,530,NA,NA,NA,NA,NA
Vermont,2006,320,NA,NA,NA,NA,NA
Vermont,2006,460,NA,NA,NA,NA,NA
Vermont,2007,410,NA,NA,NA,NA,NA
Vermont,2007,320,NA,NA,NA,NA,NA
Vermont,2008,180,NA,NA,NA,NA,NA
Vermont,2008,**,NA,NA,NA,NA,NA
Vermont,2009,210,NA,NA,NA,NA,NA
Vermont,2010,280,NA,NA,NA,NA,NA
Vermont,2010,850,NA,NA,NA,NA,NA
Vermont,2011,600,NA,NA,NA,NA,NA
Vermont,2011,920,NA,NA,NA,NA,NA
Vermont,2011,NA,NA,202170,NA,NA,NA
Vermont,2012,830,NA,NA,NA,NA,NA
Vermont,2012,640,NA,NA,NA,NA,NA
Vermont,2012,NA,298,223303,NA,NA,NA
Vermont,2013,840,NA,NA,NA,NA,NA
Vermont,2013,NA,20,233718,NA,NA,NA
Vermont,2013,610,NA,NA,NA,NA,NA
Vermont,2014,210,NA,NA,NA,NA,NA
Vermont,2014,NA,93,248939,NA,NA,NA
Vermont,2015,210,NA,NA,NA,NA,NA
Vermont,2015,NA,23,268234,NA,NA,NA
Vermont,2016,320,NA,NA,NA,NA,NA
Vermont,2016,410,NA,NA,NA,NA,NA
Vermont,2016,NA,12,281356,NA,NA,NA
Vermont,2017,NA,58,307822,NA,NA,NA
Vermont,2018,NA,NA,328010,NA,NA,NA
Virgin Islands,2000,30,NA,NA,NA,NA,NA
Virgin Islands,2001,50,NA,NA,NA,NA,NA
Virgin Islands,2002,50,NA,NA,NA,NA,NA
Virgin Islands,2003,60,NA,NA,NA,NA,NA
Virgin Islands,2004,50,NA,NA,NA,NA,NA
Virgin Islands,2005,60,NA,NA,NA,NA,NA
Virgin Islands,2005,40,NA,NA,NA,NA,NA
Virgin Islands,2006,40,NA,NA,NA,NA,NA
Virgin Islands,2011,50,NA,NA,NA,NA,NA
Virgin Islands,2012,40,NA,NA,NA,NA,NA
Virginia,2000,2300,NA,NA,NA,NA,NA
Virginia,2000,2730,NA,NA,NA,NA,NA
Virginia,2001,2620,NA,NA,NA,NA,NA
Virginia,2001,2730,NA,NA,NA,NA,NA
Virginia,2002,3160,NA,NA,NA,NA,NA
Virginia,2002,2800,NA,NA,NA,NA,NA
Virginia,2003,3070,NA,NA,NA,NA,NA
Virginia,2003,2220,NA,NA,NA,NA,NA
Virginia,2004,2810,NA,NA,NA,NA,NA
Virginia,2004,2960,NA,NA,NA,NA,NA
Virginia,2005,2510,NA,NA,NA,NA,NA
Virginia,2005,2950,NA,NA,NA,NA,NA
Virginia,2006,3050,NA,NA,NA,NA,NA
Virginia,2006,3450,NA,NA,NA,NA,NA
Virginia,2007,3510,NA,NA,VA,"Blacksburg, Virginia",55
Virginia,2007,3550,NA,NA,VA,"Blacksburg, Virginia",55
Virginia,2008,3940,NA,NA,NA,NA,NA
Virginia,2008,3700,NA,NA,NA,NA,NA
Virginia,2009,3150,NA,NA,NA,NA,NA
Virginia,2009,4910,NA,NA,NA,NA,NA
Virginia,2010,3080,NA,NA,NA,NA,NA
Virginia,2010,5640,NA,NA,NA,NA,NA
Virginia,2011,7390,NA,NA,NA,NA,NA
Virginia,2011,2950,NA,NA,NA,NA,NA
Virginia,2011,NA,NA,3664,NA,NA,NA
Virginia,2012,NA,4062,3803,NA,NA,NA
Virginia,2012,6920,NA,NA,NA,NA,NA
Virginia,2012,3110,NA,NA,NA,NA,NA
Virginia,2013,3430,NA,NA,NA,NA,NA
Virginia,2013,7890,NA,NA,NA,NA,NA
Virginia,2013,NA,1013,3904,NA,NA,NA
Virginia,2014,3150,NA,NA,NA,NA,NA
Virginia,2014,4910,NA,NA,NA,NA,NA
Virginia,2014,NA,182,4032,NA,NA,NA
Virginia,2015,NA,294,4199,NA,NA,NA
Virginia,2015,3150,NA,NA,NA,NA,NA
Virginia,2015,4910,NA,NA,NA,NA,NA
Virginia,2016,3510,NA,NA,NA,NA,NA
Virginia,2016,3550,NA,NA,NA,NA,NA
Virginia,2016,NA,424,4723,NA,NA,NA
Virginia,2017,NA,1015,5872,NA,NA,NA
Virginia,2018,NA,NA,6623,NA,NA,NA
Washington,1994,NA,NA,NA,WA,"Fairchild Air Force Base, Washington",28
Washington,2000,2270,NA,NA,NA,NA,NA
Washington,2000,3350,NA,NA,NA,NA,NA
Washington,2001,2290,NA,NA,NA,NA,NA
Washington,2001,5330,NA,NA,NA,NA,NA
Washington,2002,2800,NA,NA,NA,NA,NA
Washington,2002,4970,NA,NA,NA,NA,NA
Washington,2003,2870,NA,NA,NA,NA,NA
Washington,2003,4790,NA,NA,NA,NA,NA
Washington,2004,3130,NA,NA,NA,NA,NA
Washington,2005,2790,NA,NA,NA,NA,NA
Washington,2006,2090,NA,NA,WA,"Seattle, Washington",9
Washington,2006,2880,NA,NA,WA,"Seattle, Washington",9
Washington,2007,2850,NA,NA,NA,NA,NA
Washington,2007,2360,NA,NA,NA,NA,NA
Washington,2008,2330,NA,NA,NA,NA,NA
Washington,2008,5300,NA,NA,NA,NA,NA
Washington,2009,4140,NA,NA,WA,"Parkland, Washington",5
Washington,2009,2390,NA,NA,WA,"Parkland, Washington",5
Washington,2010,1660,NA,NA,NA,NA,NA
Washington,2010,3640,NA,NA,NA,NA,NA
Washington,2011,3590,NA,NA,NA,NA,NA
Washington,2011,NA,NA,44983,NA,NA,NA
Washington,2011,1530,NA,NA,NA,NA,NA
Washington,2012,1640,NA,NA,WA,"Seattle, Washington",7
Washington,2012,NA,5053,50550,WA,"Seattle, Washington",7
Washington,2012,3230,NA,NA,WA,"Seattle, Washington",7
Washington,2013,NA,284,56951,WA,"Federal Way, Washington",5
Washington,2013,2810,NA,NA,WA,"Federal Way, Washington",5
Washington,2013,2090,NA,NA,WA,"Federal Way, Washington",5
Washington,2014,NA,199,60009,WA,"Marysville, Washington",6
